variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A,cohort
CTNNB1,IL6ST,1251074.31703323,1581286.08940509,10400404.7837632,0.001,0.923709571691849,0.970199981404551,0.315856033951859,2.01822094570554,0.703703128878894,2.86800052874693,1277469.43557669,1437683.4122234,85,2,2,404,493,1003326.59548073,1536710.02368328,490884.469560602,3673920.24048418,1507446.29232236,61911433.6772419,,15822768.5793349,CLCA
CTNNB1,JAK1,1174856.20649027,1759013.63314271,8067802.61176586,0.001,0.183765769396173,0.643820262148408,0.0194477999376011,8.17967958154494,3.22625228969687,2.53535026001128,1277469.43557669,1588492.62566673,79,12,8,394,493,934187.773304611,1453821.11018918,1096090.07716402,2647333.68783232,3453217.92121347,17071222.0052315,,4184701.51499639,CLCA
CTNNB1,NFIC,1282295.73669741,314669.988737151,0.001,0.001,0.731161594690694,0.777361804734874,0.568409947821323,1.21137293989174e-09,0.541449198355503,2.23727903480315e-09,1277469.43557669,289260.205694588,87,3,0,403,493,1031067.35098867,1571460.99769278,78244.5053272743,815957.101374685,,8688956.33821349,,2308109.6055512,CLCA
CTNNB1,P4HA1,1278965.32376367,107925.57067839,118543.225134381,1028732.63966771,0.997438739875338,0.983781508633803,0.591209378922086,1.00193092077765,0.36397016607023,2.75278309647039,1277469.43557669,193930.284383822,86,1,1,405,493,1028382.53821742,1567408.06640284,6158.01870080047,475145.044046494,,75068009.1264741,49217.8614405409,4599275.65631011,CLCA
CTNNB1,PIK3CA,1250889.2465421,706359.223376782,10794112.4727632,0.001,0.847820547719875,0.968788774143287,0.293583156799128,2.0833839249664,0.71610835694423,2.90931379973918,1277469.43557669,641912.398767851,85,2,2,404,493,1003186.07139237,1536488.98825226,219277.594366292,1641125.50615501,1575196.72383099,61369696.6600755,,7006017.76029243,CLCA
CTNNB1,STAT3,1283022.21510105,3244255.6420409,0.001,0.001,0.700589926942289,0.550583480345338,0.385817199642117,4.93144340358957e-10,0.775689265762779,6.35749857739775e-10,1277469.43557669,2877868.28749327,87,5,0,401,493,1031660.38093649,1572361.68639118,1163187.24457126,6975060.28542432,,7374032.76919032,,9865964.29540039,CLCA
CTNNB1,TP53,1227393.36993093,692270.19528762,1531466.75276645,0.001,0.859233899863501,0.379765749490829,0.030854269223275,16.6890264217217,24.8838941770702,0.670675831642949,1277469.43557669,621436.350437663,70,130,17,276,493,960959.608505441,1539495.23987637,585330.754762076,811799.269178269,906849.678407684,2405538.53677525,,343179.321935575,CLCA
ENSG00000291313,IL6ST,700749.995978059,1441340.25004494,0.001,0.001,0.991799112031284,0.989897300084912,0.981779311703851,2.78094191419461e-11,0.0260060810193625,1.06934294026236e-09,698825.922921731,1437683.4122234,3,4,0,486,493,174268.097934459,1817121.3921385,447463.931928462,3348359.76965125,,184356150.562197,,312432077.779052,CLCA
ENSG00000291313,JAK1,710013.544947154,1511285.85573227,0.001,46757760.6925211,0.995380173988697,0.889138331949511,0.180377935123509,1.11690859135563,0.10708407711429,10.4302023368382,698825.922921731,1588492.62566673,2,19,1,471,493,176570.656675741,1841162.31669732,929497.072085433,2296428.68790093,,49588037.3531669,2466601.75914819,330841117.589131,CLCA
ENSG00000291313,NFIC,700877.095336397,290176.004501083,0.001,0.001,0.991262413015068,0.990576763183827,0.98192157268727,5.53980238418572e-11,0.0225259893169463,2.45929371014047e-09,698825.922921731,289260.205694588,3,3,0,487,493,174299.550401427,1817450.58761968,72163.2002500801,752458.331542322,,175335069.711053,,67572134.7180029,CLCA
